ghc,hc,bj,gbj,gnull,ggnull,cpma,score,alr,fdr_ratio,minP,N,H0,H1,min_cor,avg_cor,max_cor,mu,eps
8.5/575,8.5/575,4.0/611,1.0/687,2.5/674,2.5/674,11.0/386,5.5/598,10.0/444,5.5/598,7.0/580,400,1000,500,0.0,0.0,0.0,2.448,10
8.5/453,8.5/453,6.0/495,1.0/566,2.5/553,2.5/553,11.0/308,4.0/517,10.0/328,5.0/500,7.0/488,400,1000,500,0.0,0.0,0.0,2.257,10
7.5/359,7.5/359,9.0/343,1.0/453,2.5/428,2.5/428,10.0/227,5.0/397,11.0/216,5.0/397,5.0/397,400,1000,500,0.0,0.0,0.0,2.048,10
7.5/212,7.5/212,9.0/198,1.0/283,5.5/261,5.5/261,10.0/147,2.0/276,11.0/122,3.5/270,3.5/270,400,1000,500,0.0,0.0,0.0,1.815,10
7.5/145,7.5/145,9.0/118,4.0/187,5.5/171,5.5/171,10.0/116,1.0/203,11.0/71,2.0/198,3.0/196,400,1000,500,0.0,0.0,0.0,1.548,10
8.5/457,8.5/457,6.0/566,1.0/660,4.5/618,4.5/618,10.0/303,7.0/504,11.0/296,2.0/636,3.0/627,400,1000,500,0.0,0.0,0.0,2.625,7
8.5/366,8.5/366,6.0/437,1.0/531,4.5/497,4.5/497,11.0/225,7.0/417,10.0/243,2.0/506,3.0/500,400,1000,500,0.0,0.0,0.0,2.448,7
7.5/281,7.5/281,9.0/270,3.0/352,4.5/325,4.5/325,10.0/189,6.0/305,11.0/142,1.0/395,2.0/386,400,1000,500,0.0,0.0,0.0,2.257,7
8.0/180,8.0/180,8.0/180,2.0/261,4.5/245,4.5/245,10.0/129,6.0/227,11.0/91,3.0/258,1.0/265,400,1000,500,0.0,0.0,0.0,2.048,7
7.5/147,7.5/147,9.0/120,3.0/185,5.5/174,5.5/174,10.0/109,4.0/183,11.0/62,1.0/194,2.0/187,400,1000,500,0.0,0.0,0.0,1.815,7
8.5/243,8.5/243,6.0/366,3.0/464,4.5/419,4.5/419,10.0/133,7.0/250,11.0/118,1.0/549,2.0/544,400,1000,500,0.0,0.0,0.0,2.791,4
8.5/207,8.5/207,6.0/321,3.0/401,4.5/366,4.5/366,10.0/127,7.0/229,11.0/84,1.0/473,2.0/466,400,1000,500,0.0,0.0,0.0,2.625,4
8.5/142,8.5/142,6.0/254,3.0/314,4.5/290,4.5/290,10.0/98,7.0/183,11.0/69,1.0/348,2.0/341,400,1000,500,0.0,0.0,0.0,2.448,4
7.5/118,7.5/118,9.0/116,3.0/183,4.5/156,4.5/156,10.0/66,6.0/133,11.0/37,2.0/236,1.0/243,400,1000,500,0.0,0.0,0.0,2.257,4
7.5/111,7.5/111,9.0/100,3.0/151,4.5/136,4.5/136,10.0/64,6.0/131,11.0/46,1.5/196,1.5/196,400,1000,500,0.0,0.0,0.0,2.048,4
8.5/111,8.5/111,6.0/232,3.0/285,4.5/254,4.5/254,10.0/71,7.0/142,11.0/35,1.0/386,2.0/383,400,1000,500,0.0,0.0,0.0,2.953,2
8.5/89,8.5/89,6.0/194,3.0/245,4.5/229,4.5/229,10.0/66,7.0/109,11.0/29,1.0/357,2.0/354,400,1000,500,0.0,0.0,0.0,2.801,2
8.5/66,8.5/66,6.0/118,3.0/160,4.5/147,4.5/147,10.0/49,7.0/91,11.0/37,2.0/243,1.0/252,400,1000,500,0.0,0.0,0.0,2.64,2
8.5/69,8.5/69,7.0/104,3.0/156,4.5/136,4.5/136,10.0/60,6.0/113,11.0/31,1.5/243,1.5/243,400,1000,500,0.0,0.0,0.0,2.469,2
8.5/66,8.5/66,7.0/80,3.0/109,4.5/93,4.5/93,10.0/55,6.0/82,11.0/33,1.5/200,1.5/200,400,1000,500,0.0,0.0,0.0,2.285,2
8.5/55,8.5/55,6.0/147,3.0/191,4.5/160,4.5/160,10.0/42,7.0/80,11.0/22,1.5/283,1.5/283,400,1000,500,0.0,0.0,0.0,3.122,1
8.5/69,8.5/69,6.0/113,3.0/160,4.5/129,4.5/129,10.0/60,7.0/75,11.0/29,1.5/283,1.5/283,400,1000,500,0.0,0.0,0.0,2.995,1
8.5/53,8.5/53,6.0/116,3.0/142,4.5/127,4.5/127,10.0/51,7.0/75,11.0/33,1.5/241,1.5/241,400,1000,500,0.0,0.0,0.0,2.862,1
8.5/51,8.5/51,6.0/95,3.0/120,4.5/104,4.5/104,10.0/44,7.0/69,11.0/17,2.0/185,1.0/189,400,1000,500,0.0,0.0,0.0,2.723,1
9.5/44,9.5/44,6.0/82,3.0/111,4.5/100,4.5/100,8.0/49,7.0/58,11.0/35,2.0/160,1.0/162,400,1000,500,0.0,0.0,0.0,2.577,1
5.0/448,6.0/337,8.0/287,3.0/578,7.0/310,4.0/553,10.0/127,9.0/198,11.0/73,1.0/654,2.0/629,400,1000,500,0.01,0.06,0.59,2.448,10
5.0/316,6.0/218,8.0/171,3.0/433,7.0/185,4.0/406,10.0/111,9.0/142,11.0/71,1.5/553,1.5/553,400,1000,500,0.01,0.06,0.59,2.257,10
5.0/203,6.0/145,9.0/113,3.0/276,7.5/122,4.0/250,10.0/89,7.5/122,11.0/55,1.5/328,1.5/328,400,1000,500,0.01,0.06,0.59,2.048,10
4.0/160,6.0/113,9.0/78,3.0/174,8.0/84,5.0/154,10.0/75,7.0/104,11.0/49,1.0/245,2.0/241,400,1000,500,0.01,0.06,0.59,1.815,10
5.0/91,6.5/80,10.0/64,3.0/109,8.0/69,4.0/104,9.0/66,6.5/80,11.0/46,1.0/191,2.0/189,400,1000,500,0.01,0.06,0.59,1.548,10
5.0/319,8.0/200,6.0/214,3.0/479,7.0/209,4.0/453,10.0/102,9.0/136,11.0/64,1.5/573,1.5/573,400,1000,500,0.01,0.06,0.59,2.625,7
5.0/270,6.0/171,8.0/156,3.0/424,7.0/160,4.0/386,10.0/84,9.0/125,11.0/51,1.0/560,2.0/546,400,1000,500,0.01,0.06,0.59,2.448,7
5.0/198,6.0/127,9.0/100,3.0/314,8.0/102,4.0/287,10.0/73,7.0/109,11.0/46,1.0/401,2.0/395,400,1000,500,0.01,0.06,0.59,2.257,7
5.0/133,6.0/98,9.0/75,3.0/196,8.0/82,4.0/169,10.0/73,7.0/93,11.0/35,1.0/294,2.0/285,400,1000,500,0.01,0.06,0.59,2.048,7
5.0/107,6.5/75,10.0/60,3.0/156,8.0/66,4.0/138,9.0/64,6.5/75,11.0/40,1.5/223,1.5/223,400,1000,500,0.01,0.06,0.59,1.815,7
5.0/185,8.0/109,6.5/125,3.0/375,6.5/125,4.0/345,10.0/69,9.0/104,11.0/44,1.5/517,1.5/517,400,1000,500,0.01,0.06,0.59,2.791,4
5.0/145,8.0/89,6.0/104,3.0/301,7.0/100,4.0/274,10.0/53,9.0/80,11.0/37,1.0/444,2.0/430,400,1000,500,0.01,0.06,0.59,2.625,4
5.0/122,7.0/80,8.0/78,3.0/236,6.0/82,4.0/209,10.0/64,9.0/73,11.0/42,1.5/368,1.5/368,400,1000,500,0.01,0.06,0.59,2.448,4
5.0/100,6.0/78,8.5/60,3.0/174,8.5/60,4.0/147,10.0/55,7.0/73,11.0/33,1.0/272,2.0/270,400,1000,500,0.01,0.06,0.59,2.257,4
5.0/102,6.5/64,9.0/55,3.0/145,8.0/58,4.0/125,10.0/53,6.5/64,11.0/35,1.0/203,2.0/200,400,1000,500,0.01,0.06,0.59,2.048,4
5.0/98,9.0/62,7.0/80,3.0/252,6.0/82,4.0/223,10.0/60,8.0/66,11.0/37,1.0/383,2.0/377,400,1000,500,0.01,0.06,0.59,2.953,2
5.0/95,9.0/60,7.5/66,3.0/218,7.5/66,4.0/185,10.0/55,6.0/69,11.0/35,2.0/316,1.0/319,400,1000,500,0.01,0.06,0.59,2.801,2
5.0/80,9.0/60,7.0/71,3.0/176,6.0/78,4.0/156,10.0/55,8.0/69,11.0/35,2.0/303,1.0/312,400,1000,500,0.01,0.06,0.59,2.64,2
5.0/71,6.0/66,7.5/62,3.0/120,9.0/58,4.0/111,10.0/49,7.5/62,11.0/33,1.5/200,1.5/200,400,1000,500,0.01,0.06,0.59,2.469,2
5.0/66,7.5/55,7.5/55,3.0/107,7.5/55,4.0/89,10.0/46,7.5/55,11.0/35,1.0/165,2.0/162,400,1000,500,0.01,0.06,0.59,2.285,2
7.5/66,9.0/55,5.5/71,3.0/185,5.5/71,4.0/171,10.0/46,7.5/66,11.0/33,2.0/285,1.0/287,400,1000,500,0.01,0.06,0.59,3.122,1
5.0/69,9.0/53,7.0/58,3.0/160,8.0/55,4.0/138,10.0/46,6.0/62,11.0/31,2.0/234,1.0/236,400,1000,500,0.01,0.06,0.59,2.995,1
8.0/55,9.0/53,6.5/58,3.0/142,6.5/58,4.0/125,10.0/46,5.0/60,11.0/35,2.0/243,1.0/245,400,1000,500,0.01,0.06,0.59,2.862,1
5.5/60,8.0/55,9.0/53,3.0/122,7.0/58,4.0/104,10.0/40,5.5/60,11.0/37,2.0/185,1.0/194,400,1000,500,0.01,0.06,0.59,2.723,1
5.0/66,7.5/49,9.0/46,3.0/102,7.5/49,4.0/87,10.0/44,6.0/55,11.0/35,2.0/171,1.0/178,400,1000,500,0.01,0.06,0.59,2.577,1
4.0/620,7.0/595,5.0/618,1.0/725,3.0/674,2.0/709,11.0/285,9.0/482,10.0/370,6.0/611,8.0/587,400,1000,500,0.0,0.02,0.45,2.448,10
6.0/484,7.0/464,8.0/424,1.0/575,3.0/522,2.0/553,10.5/238,9.0/372,10.5/238,4.0/515,5.0/500,400,1000,500,0.0,0.02,0.45,2.257,10
6.0/330,7.0/323,9.0/296,1.0/426,3.0/392,2.0/410,10.0/176,8.0/301,11.0/171,4.0/375,5.0/354,400,1000,500,0.0,0.02,0.45,2.048,10
5.5/238,7.0/227,9.0/178,1.0/283,4.0/241,2.0/267,10.0/125,8.0/218,11.0/109,3.0/250,5.5/238,400,1000,500,0.0,0.02,0.45,1.815,10
7.0/138,8.0/131,9.0/93,1.5/162,6.0/147,3.5/158,10.0/82,1.5/162,11.0/46,3.5/158,5.0/151,400,1000,500,0.0,0.02,0.45,1.548,10
7.0/468,8.0/435,6.0/515,1.0/627,5.0/569,2.0/600,11.0/203,9.0/372,10.0/258,3.0/595,4.0/578,400,1000,500,0.0,0.02,0.45,2.625,7
7.0/383,8.0/370,6.0/433,2.0/551,5.0/479,4.0/517,11.0/183,9.0/301,10.0/194,1.0/558,3.0/546,400,1000,500,0.0,0.02,0.45,2.448,7
7.0/265,8.0/258,6.0/270,2.0/388,5.0/334,4.0/359,10.0/136,9.0/241,11.0/111,1.0/399,3.0/381,400,1000,500,0.0,0.02,0.45,2.257,7
6.0/205,7.0/200,8.0/169,3.0/283,5.0/252,4.0/267,10.0/104,9.0/167,11.0/91,1.0/292,2.0/285,400,1000,500,0.0,0.02,0.45,2.048,7
6.0/156,7.0/149,8.5/125,3.0/196,5.0/180,4.0/183,10.0/82,8.5/125,11.0/53,1.0/209,2.0/205,400,1000,500,0.0,0.02,0.45,1.815,7
7.0/218,9.0/194,6.0/332,3.0/462,5.0/381,4.0/419,10.0/100,8.0/196,11.0/95,1.0/535,2.0/533,400,1000,500,0.0,0.02,0.45,2.791,4
7.0/198,8.0/189,6.0/236,3.0/339,5.0/285,4.0/303,10.0/87,9.0/165,11.0/66,1.0/450,2.0/437,400,1000,500,0.0,0.02,0.45,2.625,4
7.0/167,8.0/158,6.0/198,3.0/292,5.0/234,4.0/265,10.0/75,9.0/136,11.0/60,1.0/352,2.0/339,400,1000,500,0.0,0.02,0.45,2.448,4
6.0/140,7.0/136,8.0/133,3.0/227,5.0/171,4.0/203,10.0/69,9.0/111,11.0/46,1.0/290,2.0/279,400,1000,500,0.0,0.02,0.45,2.257,4
7.0/107,7.0/107,7.0/107,3.0/162,5.0/142,4.0/145,10.0/58,9.0/93,11.0/46,1.0/191,2.0/185,400,1000,500,0.0,0.02,0.45,2.048,4
8.0/91,9.0/84,6.0/176,3.0/294,5.0/212,4.0/236,10.0/62,7.0/100,11.0/37,1.0/399,2.0/397,400,1000,500,0.0,0.02,0.45,2.953,2
8.0/102,9.0/91,6.0/149,3.0/232,5.0/189,4.0/200,10.0/51,7.0/104,11.0/37,1.0/339,2.0/334,400,1000,500,0.0,0.02,0.45,2.801,2
8.0/80,9.0/78,6.0/116,3.0/194,5.0/158,4.0/174,10.0/49,7.0/84,11.0/35,1.5/292,1.5/292,400,1000,500,0.0,0.02,0.45,2.64,2
7.0/95,8.0/93,6.0/116,3.0/178,5.0/149,4.0/156,10.0/53,9.0/78,11.0/35,1.0/238,2.0/236,400,1000,500,0.0,0.02,0.45,2.469,2
6.0/66,7.0/62,8.5/60,3.0/122,5.0/91,4.0/107,10.0/46,8.5/60,11.0/29,1.0/136,2.0/133,400,1000,500,0.0,0.02,0.45,2.285,2
8.0/60,9.0/55,6.0/120,3.0/180,5.0/149,4.0/167,10.0/46,7.0/66,11.0/29,1.0/281,2.0/279,400,1000,500,0.0,0.02,0.45,3.122,1
8.0/60,9.0/58,6.0/120,3.0/187,5.0/142,4.0/160,10.0/44,7.0/75,11.0/35,1.0/270,2.0/267,400,1000,500,0.0,0.02,0.45,2.995,1
7.0/64,8.5/62,6.0/107,3.0/187,5.0/131,4.0/156,10.0/42,8.5/62,11.0/37,1.0/247,2.0/238,400,1000,500,0.0,0.02,0.45,2.862,1
7.5/58,9.0/51,6.0/82,3.0/136,5.0/98,4.0/113,10.0/44,7.5/58,11.0/33,1.5/203,1.5/203,400,1000,500,0.0,0.02,0.45,2.723,1
8.0/49,9.0/46,7.0/53,3.0/98,5.0/69,4.0/89,10.0/42,6.0/62,11.0/31,1.0/174,2.0/169,400,1000,500,0.0,0.02,0.45,2.577,1
5.0/638,4.0/640,7.0/604,1.0/725,3.0/703,2.0/709,11.0/381,8.5/584,10.0/448,6.0/609,8.5/584,400,1000,500,0.0,0.0,0.24,2.448,10
6.5/506,6.5/506,8.0/493,1.0/573,2.5/535,2.5/535,11.0/301,9.0/477,10.0/341,5.0/513,4.0/515,400,1000,500,0.0,0.0,0.24,2.257,10
6.0/390,7.0/388,9.0/363,1.0/459,3.0/430,2.0/433,10.0/238,8.0/370,11.0/227,4.0/412,5.0/401,400,1000,500,0.0,0.0,0.24,2.048,10
6.5/241,5.0/243,9.0/223,1.0/299,3.0/287,2.0/290,10.0/131,4.0/261,11.0/116,6.5/241,8.0/234,400,1000,500,0.0,0.0,0.24,1.815,10
8.0/165,7.0/167,9.0/127,2.5/189,5.0/187,2.5/189,10.0/102,5.0/187,11.0/71,1.0/194,5.0/187,400,1000,500,0.0,0.0,0.24,1.548,10
7.0/506,8.0/504,5.0/611,1.0/678,3.0/662,2.0/665,11.0/281,9.0/473,10.0/308,4.0/627,6.0/604,400,1000,500,0.0,0.0,0.24,2.625,7
7.5/430,7.5/430,6.0/433,3.0/520,4.5/491,4.5/491,11.0/212,9.0/379,10.0/252,1.0/566,2.0/555,400,1000,500,0.0,0.0,0.24,2.448,7
7.5/299,7.5/299,6.0/337,1.0/424,4.0/401,5.0/399,10.0/171,9.0/290,11.0/165,2.0/421,3.0/406,400,1000,500,0.0,0.0,0.24,2.257,7
7.5/236,7.5/236,9.0/225,3.0/296,5.0/281,4.0/283,10.0/127,6.0/241,11.0/116,1.5/316,1.5/316,400,1000,500,0.0,0.0,0.24,2.048,7
6.5/165,6.5/165,9.0/133,1.5/205,5.0/178,4.0/183,10.0/89,8.0/162,11.0/55,1.5/205,3.0/200,400,1000,500,0.0,0.0,0.24,1.815,7
7.5/263,7.5/263,6.0/390,3.0/500,5.0/421,4.0/426,10.0/136,9.0/252,11.0/120,1.0/549,2.0/529,400,1000,500,0.0,0.0,0.24,2.791,4
7.5/229,7.5/229,6.0/303,3.0/363,5.0/332,4.0/337,10.0/116,9.0/225,11.0/91,1.0/459,2.0/446,400,1000,500,0.0,0.0,0.24,2.625,4
7.5/180,7.5/180,6.0/250,3.0/312,5.0/281,4.0/283,10.0/95,9.0/169,11.0/73,1.0/370,2.0/366,400,1000,500,0.0,0.0,0.24,2.448,4
7.5/147,7.5/147,6.0/149,3.0/218,5.0/187,4.0/194,10.0/75,9.0/142,11.0/42,1.0/241,2.0/227,400,1000,500,0.0,0.0,0.24,2.257,4
7.5/129,7.5/129,6.0/140,3.0/178,5.0/167,4.0/169,10.0/53,9.0/113,11.0/49,1.0/198,2.0/189,400,1000,500,0.0,0.0,0.24,2.048,4
7.5/131,7.5/131,6.0/227,3.0/283,5.0/256,4.0/258,10.0/53,9.0/107,11.0/35,1.0/368,2.0/359,400,1000,500,0.0,0.0,0.24,2.953,2
7.5/116,7.5/116,6.0/185,3.0/250,5.0/205,4.0/209,10.0/44,9.0/111,11.0/29,1.0/363,2.0/354,400,1000,500,0.0,0.0,0.24,2.801,2
7.5/111,7.5/111,6.0/133,3.0/176,5.0/151,4.0/154,10.0/44,9.0/102,11.0/35,1.0/287,2.0/281,400,1000,500,0.0,0.0,0.24,2.64,2
8.5/78,8.5/78,6.0/116,3.0/156,5.0/129,4.0/133,10.0/40,7.0/102,11.0/31,1.0/220,2.0/214,400,1000,500,0.0,0.0,0.24,2.469,2
8.5/78,8.5/78,6.0/93,3.0/122,5.0/102,4.0/104,10.0/42,7.0/89,11.0/35,1.0/167,2.0/165,400,1000,500,0.0,0.0,0.24,2.285,2
7.5/82,7.5/82,6.0/147,3.0/189,4.5/160,4.5/160,10.0/42,9.0/73,11.0/33,1.0/261,2.0/256,400,1000,500,0.0,0.0,0.24,3.122,1
7.5/84,7.5/84,6.0/120,3.0/176,5.0/138,4.0/142,10.0/40,9.0/66,11.0/26,1.0/258,2.0/256,400,1000,500,0.0,0.0,0.24,2.995,1
7.5/71,7.5/71,6.0/98,3.0/147,4.5/120,4.5/120,10.0/35,9.0/69,11.0/29,1.0/225,2.0/218,400,1000,500,0.0,0.0,0.24,2.862,1
7.5/64,7.5/64,6.0/73,3.0/125,5.0/93,4.0/95,10.0/33,9.0/53,11.0/17,1.0/200,2.0/196,400,1000,500,0.0,0.0,0.24,2.723,1
7.5/51,7.5/51,6.0/73,3.0/91,5.0/82,4.0/84,10.0/35,9.0/42,11.0/29,1.0/154,2.0/151,400,1000,500,0.0,0.0,0.24,2.577,1
